Instance,Costs
1,923300
2,946731
3,964321
4,935529
5,963145
6,965098
7,999333
8,982476
9,990007
10,949597
11,919726
12,886475
13,882206
14,879132
15,901157
16,881109
17,868460
18,955108
19,886151
20,870719
21,624550
22,642400
23,619736
24,606159
25,672597
26,621053
27,645562
28,662377
29,583594
30,656059
31,279018
32,221968
33,344705
34,213732
35,304709
36,273873
37,280307
38,235641
39,279791
40,238029
41,1053487
42,998666
43,974726
44,991590
45,959078
46,992481
47,996469
48,919116
49,1025243
50,1013145
51,944652
52,930104
53,900028
54,983944
55,939363
56,969977
57,967432
58,915516
59,918484
60,915156
61,702345
62,675092
63,571233
64,652164
65,664046
66,636491
67,681472
68,690280
69,644194
70,678203
71,165318
72,174703
73,183919
74,175504
75,180110
76,230973
77,264582
78,203708
79,204234
80,221601
81,953432
82,975445
83,996947
84,978849
85,966898
86,945363
87,969622
88,980092
89,990067
90,923167
91,947981
92,942127
93,1001825
94,910648
95,965285
96,940762
97,973364
98,938641
99,928409
100,957782
101,570746
102,575294
103,588045
104,625143
105,572274
106,592085
107,612468
108,582808
109,616330
110,590485
111,164102
112,172713
113,194596
114,226838
115,228332
116,329455
117,203305
118,145269
119,176792
120,136535
121,906599
122,1062545
123,1002336
124,981810
125,955236
126,1012001
127,999606
128,1001274
129,1035508
130,984799
131,961938
132,956985
133,960430
134,971142
135,963103
136,965723
137,911403
138,957430
139,891004
140,985196
141,609684
142,597325
143,601653
144,620873
145,592036
146,598713
147,556943
148,587133
149,597526
150,598066
151,159263
152,160061
153,242365
154,201738
155,187148
156,154655
157,139825
158,238479
159,178726
160,194382
161,1826350
162,1908864
163,1838815
164,1894270
165,1894639
166,2048413
167,1960553
168,1844860
169,1887228
170,1944161
171,1851769
172,1816470
173,1793389
174,1812069
175,1749104
176,1840356
177,1826158
178,1709268
179,1806992
180,1752162
181,1235526
182,1191130
183,1276254
184,1240968
185,1146101
186,1143636
187,1151580
188,1183227
189,1193883
190,1216046
191,490339
192,402996
193,500771
194,388987
195,629400
196,511109
197,388372
198,415226
199,465147
200,292592
201,1891454
202,1939450
203,1958500
204,2019003
205,2001797
206,1986598
207,1977899
208,1952666
209,1888261
210,1958835
211,1872474
212,1863603
213,1794278
214,1912755
215,1902731
216,1901997
217,1884698
218,1940250
219,1816331
220,1858078
221,1221750
222,1315926
223,1280036
224,1193677
225,1223891
226,1354670
227,1180009
228,1189450
229,1196182
230,1210009
231,382797
232,393113
233,346647
234,257561
235,359835
236,399939
237,411912
238,353082
239,407819
240,365152
241,1969601
242,1949967
243,1910196
244,1949147
245,1910447
246,1968037
247,1930238
248,2010842
249,1932453
250,1957948
251,1911298
252,1842779
253,1875203
254,1922082
255,1953101
256,1877158
257,1844279
258,1933973
259,1924630
260,1766180
261,1147064
262,1195197
263,1178975
264,1214698
265,1192127
266,1153506
267,1166243
268,1179452
269,1130311
270,1151422
271,400615
272,289377
273,399851
274,326912
275,411206
276,386320
277,392149
278,345440
279,310168
280,357158
281,2003642
282,1991454
283,1888225
284,1952041
285,1995114
286,1940077
287,2029337
288,1971245
289,2003796
290,2000799
291,1850614
292,1887028
293,1831521
294,1862392
295,1773610
296,1935379
297,1827079
298,1822212
299,1792318
300,1919342
301,1207846
302,1233615
303,1198820
304,1117670
305,1177016
306,1202840
307,1223971
308,1171400
309,1122546
310,1188237
311,374146
312,474110
313,345176
314,328552
315,308172
316,355902
317,382442
318,401049
319,299633
320,431614
321,2665856
322,2871812
323,2789347
324,2812054
325,2832663
326,2959231
327,2984709
328,2905571
329,2888713
330,2889270
331,2758344
332,2739033
333,2706602
334,2509729
335,2684464
336,2579379
337,2547913
338,2484621
339,2647324
340,2641317
341,1837462
342,1761284
343,1823930
344,1721428
345,1738029
346,1599887
347,1754712
348,1762971
349,1880419
350,1708701
351,598998
352,540283
353,754181
354,484713
355,476883
356,578044
357,710718
358,650584
359,507822
360,581495
361,2892480
362,2984998
363,2885597
364,2938411
365,2872348
366,2951356
367,2916993
368,2895048
369,2922597
370,2988178
371,2838722
372,2892730
373,2785996
374,2833210
375,2811905
376,2727486
377,2815564
378,2730657
379,2758080
380,2736680
381,1819413
382,1870523
383,1844952
384,1774994
385,1906484
386,1837599
387,1879377
388,1787910
389,1745801
390,1781111
391,511242
392,469536
393,457696
394,536122
395,522212
396,559411
397,519209
398,535392
399,524566
400,474944
401,2961019
402,2994396
403,2925046
404,2934792
405,2842981
406,2958827
407,2933471
408,2936686
409,2948165
410,3035870
411,2728246
412,2762583
413,2775934
414,2745256
415,2669723
416,2767272
417,2753724
418,2764052
419,2758155
420,2802350
421,1852771
422,1791403
423,1780799
424,1756401
425,1700738
426,1775469
427,1830876
428,1785195
429,1727131
430,1761357
431,526538
432,451279
433,388819
434,597510
435,549916
436,491435
437,456340
438,655215
439,511196
440,531498
441,2937070
442,2933748
443,2941874
444,2922869
445,3022150
446,2975368
447,3011314
448,2957428
449,2960689
450,2933950
451,2846523
452,2715240
453,2721865
454,2829292
455,2716240
456,2771294
457,2782718
458,2704204
459,2810223
460,2782007
461,1757937
462,1694644
463,1771184
464,1739853
465,1768963
466,1751783
467,1894094
468,1733915
469,1794585
470,1709040
471,481806
472,469969
473,610931
474,524573
475,593080
476,585517
477,516779
478,431656
479,648277
480,572673
481,5026628
482,4742249
483,4889057
484,4871322
485,4874629
486,4919833
487,4864380
488,4716664
489,4926864
490,4912921
491,4468435
492,4599868
493,4602082
494,4600584
495,4508076
496,4207437
497,4630306
498,4567585
499,4586221
500,4449444
501,2958199
502,2926015
503,2865884
504,2866838
505,2961257
506,3049994
507,3000179
508,2801234
509,2715941
510,2932387
511,765156
512,1027640
513,849781
514,653527
515,996867
516,1070975
517,840792
518,924338
519,926613
520,1107729
521,4914888
522,4947756
523,4927278
524,4901229
525,4909585
526,4859592
527,4949273
528,4768712
529,5008631
530,4928502
531,4593324
532,4552645
533,4668901
534,4582503
535,4672797
536,4619421
537,4704695
538,4547779
539,4588077
540,4556334
541,3007881
542,2911691
543,3004986
544,2942938
545,2867179
546,2946709
547,2984740
548,2961021
549,2893579
550,2888883
551,804243
552,975606
553,777775
554,954729
555,991468
556,1008561
557,934186
558,998363
559,892746
560,819027
561,4990349
562,4975554
563,4962827
564,4859327
565,4844454
566,4998441
567,5005772
568,4979978
569,4961131
570,4966135
571,4564870
572,4622574
573,4596927
574,4556990
575,4541270
576,4488139
577,4673720
578,4742628
579,4704168
580,4607391
581,2880753
582,2915228
583,2883476
584,2880344
585,2911059
586,2904547
587,2925270
588,2990788
589,2939544
590,3029083
591,1059379
592,775077
593,976812
594,931383
595,1020937
596,870605
597,892155
598,903315
599,856110
600,920875
601,4842178
602,4887223
603,4925462
604,4833870
605,5030905
606,4916791
607,4861189
608,4825694
609,4903500
610,5031901
611,4612711
612,4480890
613,4737104
614,4653035
615,4522543
616,4650932
617,4630229
618,4587523
619,4553969
620,4454122
621,2945189
622,2902641
623,2990406
624,2911168
625,3024104
626,2994770
627,2974653
628,2832365
629,3099527
630,2910099
631,890014
632,909241
633,907610
634,899107
635,882557
636,1065088
637,872060
638,973649
639,905173
640,918883
